"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Estonia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","76.63","14","Weight in kilograms","14"
"EU-28","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","395280286.61","","No Quantity",""
"EU-28","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","283461601819.701","","No Quantity",""
"Fiji","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Re-Export","69694.484","42900","Weight in kilograms","42900"
"Fiji","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","69694.484","42900","Weight in kilograms","42900"
"Fiji","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","60544.019","47451.1","Weight in kilograms","47451.1"
"Finland","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","297.655","248","Weight in kilograms","248"
"Finland","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","5450134512.782","8676609571.363","Weight in kilograms","8676609571.363"
"France","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","16103887.031","24440664.903","Weight in kilograms","24440664.903"
"France","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","29685193775.098","47020133246.088","Weight in kilograms","47020133246.088"
"Georgia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","5845497.911","","No Quantity",""
"Germany","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","1171356.463","","No Quantity",""
"Germany","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","48408417527.171","78435091548","Weight in kilograms","78435091548"
"Greece","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","14772480141.182","","No Quantity",""
"Greece","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","42743484.702","81595300","Weight in kilograms","81595300"
"Grenada","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","1102.815","148.88","Weight in kilograms","148.88"
"Guatemala","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","79249884","175536878","Weight in kilograms","175536878"
"Guatemala","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","422735","95093","Weight in kilograms","95093"
"Guyana","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","7447.789","","No Quantity",""
"Guyana","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","18174887650.995","16620929331","Weight in kilograms","16620929331"
"Hungary","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","63143741","103179818","Weight in kilograms","103179818"
"Hungary","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","2860748264","5445919288","Weight in kilograms","5445919288"
"Iceland","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","533.64","12.981","Weight in kilograms","12.981"
"India","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","141532322252.516","241750225067","Weight in kilograms","241750225067"
"Ireland","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","1246881113.146","","No Quantity",""
"Ireland","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","74126.826","39253","Weight in kilograms","39253"
"Israel","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","7038699000","11205602902.113","Weight in kilograms","11205602902.113"
"Italy","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","29098644094.028","47668545803","Weight in kilograms","47668545803"
"Italy","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","632754942.115","1374841513","Weight in kilograms","1374841513"
"Japan","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","71811869887.915","114958618700","Weight in kilograms","114958618700"
"Kyrgyzstan","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","166427","462298","Weight in kilograms","462298"
"Latvia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","1610.582","1667","Weight in kilograms","1667"
"Latvia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","710183.374","2590944","Weight in kilograms","2590944"
"Lithuania","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","5465581486","8804712882","Weight in kilograms","8804712882"
"Luxembourg","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","13761.602","2221.803","Weight in kilograms","2221.803"
"Malaysia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","6238601096.712","9491339957","Weight in kilograms","9491339957"
"Malaysia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","13880443833.261","22122672638","Weight in kilograms","22122672638"
"Maldives","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","2587.758","418","Weight in kilograms","418"
"Malta","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","283.584","","No Quantity",""
"Mexico","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","21707462281","39114513944.514","Weight in kilograms","39114513944.514"
"Mexico","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","1253","1994.775","Weight in kilograms","1994.775"
"Namibia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","21881.578","","No Quantity",""
"Namibia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","10886.386","","No Quantity",""
"Namibia","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Re-Export","5.501","2","Weight in kilograms","2"
"Netherlands","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","17039661154.182","28309005788","Weight in kilograms","28309005788"
"Netherlands","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Import","49023357295.452","79221742644","Weight in kilograms","79221742644"
"New Zealand","2024","Oils; petroleum oils and oils obtained from bituminous minerals, crude","Export","423230611.237","719483682.129","Weight in kilograms","719483682.129"
