"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Croatia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","974224425","1720001300","Weight in kilograms","1720001300"
"Croatia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","2338217","3418485.2","Weight in kilograms","3418485.2"
"Czech Rep.","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","15079259","20759202.3","Weight in kilograms","20759202.3"
"Czech Rep.","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","19","31.82","Weight in kilograms","31.82"
"Denmark","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","718141.896","1876810","Weight in kilograms","1876810"
"Dominican Rep.","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","204781.054","454911","Weight in kilograms","454911"
"Dominican Rep.","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","790127278.68","1842142290","Weight in kilograms","1842142290"
"Ecuador","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","48478.42","92170.87","Weight in kilograms","92170.87"
"Egypt","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","4900650000","9286657898.641","Weight in kilograms","9286657898.641"
"Egypt","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","313820000","525559583.832","Weight in kilograms","525559583.832"
"El Salvador","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","181482442.9","350078530","Weight in kilograms","350078530"
"Estonia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","7353360.48","11308910","Weight in kilograms","11308910"
"Estonia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","15129478.73","26676574","Weight in kilograms","26676574"
"EU-28","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","638418594.769","","No Quantity",""
"EU-28","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","39639572733.201","72758859144.678","Weight in kilograms","72758859144.678"
"Fiji","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Re-Export","529.031","400","Weight in kilograms","400"
"Fiji","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","529.031","400","Weight in kilograms","400"
"Finland","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","36022211.606","53785626","Weight in kilograms","53785626"
"Finland","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","896140324.118","1626861762.965","Weight in kilograms","1626861762.965"
"France","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","38074517.526","63764029.015","Weight in kilograms","63764029.015"
"France","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","10915238820.327","20684213075.07","Weight in kilograms","20684213075.07"
"Georgia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","86446.895","","No Quantity",""
"Germany","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","5614557.476","6213350","Weight in kilograms","6213350"
"Germany","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","2939222000.572","4783690000","Weight in kilograms","4783690000"
"Greece","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","2917579.26","3742681","Weight in kilograms","3742681"
"Greece","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","1249173690.21","1609303880","Weight in kilograms","1609303880"
"Grenada","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","340.833","74.13","Weight in kilograms","74.13"
"Guyana","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","674549.731","896027.92","Weight in kilograms","896027.92"
"Guyana","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Re-Export","163868.437","228820","Weight in kilograms","228820"
"Guyana","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","163963.718","229308","Weight in kilograms","229308"
"Hungary","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","266701","","No Quantity",""
"Iceland","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","858.42","199","Weight in kilograms","199"
"India","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","4394400.542","4670023","Weight in kilograms","4670023"
"India","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","14984892381.23","27793935800","Weight in kilograms","27793935800"
"Ireland","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","306480599.224","559184085","Weight in kilograms","559184085"
"Ireland","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","179952.246","61186","Weight in kilograms","61186"
"Italy","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","49957355.639","","No Quantity",""
"Italy","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","5462422272.673","10719045520","Weight in kilograms","10719045520"
"Japan","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","41180083627.764","65890704000","Weight in kilograms","65890704000"
"Latvia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","1835637.164","2689173","Weight in kilograms","2689173"
"Lithuania","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","98857477","157611811","Weight in kilograms","157611811"
"Lithuania","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","1015736718","1819111138","Weight in kilograms","1819111138"
"Luxembourg","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","160.733","380.76","Weight in kilograms","380.76"
"Luxembourg","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","562738.498","1333098.2","Weight in kilograms","1333098.2"
"Malaysia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","13295090757.83","27951946686.95","Weight in kilograms","27951946686.95"
"Malaysia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","2185241812.174","3245507200","Weight in kilograms","3245507200"
"Malta","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","134029330.15","","No Quantity",""
"Mexico","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","929549","1729227660","Weight in kilograms","1729227660"
"Montenegro","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","1142978.216","989618","Weight in kilograms","989618"
"Namibia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","3360843.602","","No Quantity",""
"Namibia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","85904.465","39305.8","Weight in kilograms","39305.8"
"Netherlands","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","251411903.185","340349494","Weight in kilograms","340349494"
"Netherlands","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","8434754699.574","13431247841","Weight in kilograms","13431247841"
"New Zealand","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","3149.533","4500","Weight in kilograms","4500"
"New Zealand","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","22596.267","1208","Weight in kilograms","1208"
"Nigeria","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","4884418606.959","","No Quantity",""
"Nigeria","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","14370.007","50000","Weight in kilograms","50000"
"Norway","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","33402961.906","55732417","Weight in kilograms","55732417"
"Norway","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","2224840265.679","4647466279","Weight in kilograms","4647466279"
"Pakistan","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","3981541554.9","7544961245.872","Weight in kilograms","7544961245.872"
"Panama","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","23420","2227","Weight in kilograms","2227"
"Paraguay","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","25.302","0.41","Weight in kilograms","0.41"
"Philippines","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","767725715","1184997500","Weight in kilograms","1184997500"
"Portugal","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","1292449547.89","3177570100","Weight in kilograms","3177570100"
"Rep. of Korea","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","10478352","15434867","Weight in kilograms","15434867"
"Rep. of Korea","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","29272042859","46317873494","Weight in kilograms","46317873494"
"Slovakia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","19431507.93","","No Quantity",""
"Slovakia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","3086266.418","8873860","Weight in kilograms","8873860"
"Slovenia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","308074.617","337147","Weight in kilograms","337147"
"South Africa","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","13730200.167","22994195.034","Weight in kilograms","22994195.034"
"South Africa","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","413730622.13","","Weight in kilograms","784013294.137"
"Spain","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","482861575.731","868498750","Weight in kilograms","868498750"
"Spain","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","5963227480.201","11981212941","Weight in kilograms","11981212941"
"Sweden","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","30845778.039","41246832.989","Weight in kilograms","41246832.989"
"Sweden","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","218001990.044","374445000","Weight in kilograms","374445000"
"Switzerland","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","3381502.627","3895051.213","Weight in kilograms","3895051.213"
"Switzerland","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","14351.901","11350","Weight in kilograms","11350"
"TFYR of Macedonia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","3486462.91","4537375","Weight in kilograms","4537375"
"Thailand","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","1373981.79","1813472.734","Weight in kilograms","1813472.734"
"Thailand","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","6682339507.31","11417432501","Weight in kilograms","11417432501"
"Togo","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","51435577.874","26000000","Weight in kilograms","26000000"
"Trinidad and Tobago","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","36153.414","","No Quantity",""
"Trinidad and Tobago","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","368543434.887","760460940","Weight in kilograms","760460940"
"United Kingdom","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","4349832125.187","","No Quantity",""
"United Kingdom","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","108263.356","129473","Weight in kilograms","129473"
"USA","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","988426376","1873053087.224","Weight in kilograms","1873053087.224"
"USA","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","28900889054","48400800534.045","Weight in kilograms","48400800534.045"
"Zimbabwe","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","43215.8","64370","Weight in kilograms","64370"

