"Country or Area","Year","Commodity","Flow","Trade (USD)","Weight (kg)","Quantity Name","Quantity"
"Antigua and Barbuda","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","619191.636","1327706","Weight in kilograms","1327706"
"Argentina","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","675501161.77","1139647970","Weight in kilograms","1139647970"
"Australia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","18515.222","","No Quantity",""
"Australia","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","44521041774.551","81275600000","Weight in kilograms","81275600000"
"Austria","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","1684.184","1918","Weight in kilograms","1918"
"Austria","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","2212059.864","3063660","Weight in kilograms","3063660"
"Barbados","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","11148062.5","18707265","Weight in kilograms","18707265"
"Belgium","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","17477430.162","51381405.3","Weight in kilograms","51381405.3"
"Belgium","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","2855924850.928","5847511180","Weight in kilograms","5847511180"
"Bosnia Herzegovina","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","667087.396","578065.3","Weight in kilograms","578065.3"
"Bosnia Herzegovina","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","134026.764","143894.5","Weight in kilograms","143894.5"
"Brazil","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","5139","262","Weight in kilograms","262"
"Brazil","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","2213190106","3258494850","Weight in kilograms","3258494850"
"Bulgaria","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","179762.422","223360","Weight in kilograms","223360"
"Burkina Faso","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","163.499","100","Weight in kilograms","100"
"Canada","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","240249279.991","684796491.712","Weight in kilograms","684796491.712"
"Chile","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","20717832.48","38046100","Weight in kilograms","38046100"
"Chile","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","732978695.85","2024765200","Weight in kilograms","2024765200"
"China","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Export","482123906","753320605","Weight in kilograms","753320605"
"China","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","44057222716","76572092210","Weight in kilograms","76572092210"
"China, Hong Kong SAR","2024","Petroleum gases and other gaseous hydrocarbons; liquefied, natural gas","Import","344726879.153","698219000","Weight in kilograms","698219000"
