year,country,flow,product_group,commodity_key,total_trade_usd,total_weight_kg,total_weight_tonnes,total_quantity,rows,any_quantity_available,any_weight_available
2024,BULGARIA,export,refined_products,light_oils_refined,1408008090.248,1913455489,1913455.489,1913455489,1,TRUE,TRUE
2024,BULGARIA,import,crude_oil,crude_oil,4035630939.916,6630028418,6630028.418,6630028418,1,TRUE,TRUE
2024,BULGARIA,import,lng,lng,179762.422,223360,223.36,223360,1,TRUE,TRUE
2024,BULGARIA,import,refined_products,light_oils_refined,192493205.864,232321617.852,232321.617852,232321617.852,1,TRUE,TRUE
2024,BURKINA FASO,export,crude_oil,crude_oil,50.011,240,0.24,240,1,TRUE,TRUE
2024,BURKINA FASO,export,refined_products,light_oils_refined,115098.686,80308,80.308,80308,1,TRUE,TRUE
2024,BURKINA FASO,import,crude_oil,crude_oil,15634.04,24503,24.503,24503,1,TRUE,TRUE
2024,BURKINA FASO,import,lng,lng,163.499,100,0.1,100,1,TRUE,TRUE
2024,BURKINA FASO,import,refined_products,light_oils_refined,748593800.658,754074723,754074.723,754074723,1,TRUE,TRUE
2024,BURKINA FASO,re-export,refined_products,light_oils_refined,115098.686,80308,80.308,80308,1,TRUE,TRUE
2024,CANADA,export,crude_oil,crude_oil,107585282284.098,193857115569.385,193857115.56938502,193857115569.385,1,TRUE,TRUE
2024,CANADA,export,refined_products,light_oils_refined,4545369231.408,7596392378,7596392.378,7596392378,1,TRUE,TRUE
2024,CANADA,import,crude_oil,crude_oil,15171602177.525,24153177936.743,24153177.936743,24153177936.743,1,TRUE,TRUE
2024,CANADA,import,lng,lng,240249279.991,684796491.712,684796.491712,684796491.712,1,TRUE,TRUE
2024,CANADA,import,refined_products,light_oils_refined,9816716551.322,20579450085.8,20579450.0858,20579450085.8,1,TRUE,TRUE
2024,CANADA,re-export,crude_oil,crude_oil,43360559.235,78131067.412,78131.067412,78131067.412,1,TRUE,TRUE
2024,CANADA,re-export,refined_products,light_oils_refined,8640250.827,13186636,13186.636,13186636,1,TRUE,TRUE
2024,CHILE,export,crude_oil,crude_oil,10113086.01,24610200,24610.2,24610200,1,TRUE,TRUE
2024,CHILE,export,lng,lng,20717832.48,38046100,38046.1,38046100,1,TRUE,TRUE
2024,CHILE,export,refined_products,light_oils_refined,86997667.284,147825784.579,147825.784579,147825784.579,1,TRUE,TRUE
2024,CHILE,import,crude_oil,crude_oil,5045101549.3,8900689064.79,8900689.064790001,8900689064.79,1,TRUE,TRUE
2024,CHILE,import,lng,lng,732978695.85,2024765200,2024765.2,2024765200,1,TRUE,TRUE
2024,CHILE,import,refined_products,light_oils_refined,751393363.502,0,0,0,1,FALSE,FALSE
2024,CHINA,export,crude_oil,crude_oil,1178947474,2089129800,2089129.8,2089129800,1,TRUE,TRUE
2024,CHINA,export,lng,lng,482123906,753320605,753320.605,753320605,1,TRUE,TRUE
2024,CHINA,export,refined_products,light_oils_refined,7725461641,10029768181,10029768.181,10029768181,1,TRUE,TRUE
2024,CHINA,import,crude_oil,crude_oil,325186599333,553231901236,553231901.236,553231901236,1,TRUE,TRUE
2024,CHINA,import,lng,lng,44057222716,76572092210,76572092.21,76572092210,1,TRUE,TRUE
2024,CHINA,import,refined_products,light_oils_refined,8665409813,12312517084.145,12312517.084145,12312517084.145,1,TRUE,TRUE
2024,"CHINA, HONG KONG SAR",export,refined_products,light_oils_refined,4909666.526,3595000,3595,3595000,1,TRUE,TRUE
2024,"CHINA, HONG KONG SAR",import,lng,lng,344726879.153,698219000,698219,698219000,1,TRUE,TRUE
2024,"CHINA, HONG KONG SAR",import,refined_products,light_oils_refined,450514274.338,791259000,791259,791259000,1,TRUE,TRUE
2024,CROATIA,export,crude_oil,crude_oil,773594230,1267246500.1,1267246.5000999998,1267246500.1,1,TRUE,TRUE
2024,CROATIA,export,lng,lng,2338217,3418485.2,3418.4852,3418485.2,1,TRUE,TRUE
2024,CROATIA,export,refined_products,light_oils_refined,295392759,380187415.591,380187.415591,380187415.591,1,TRUE,TRUE
2024,CROATIA,import,crude_oil,crude_oil,1719311482,0,0,0,1,FALSE,FALSE
2024,CROATIA,import,lng,lng,974224425,1720001300,1720001.3,1720001300,1,TRUE,TRUE
2024,CROATIA,import,refined_products,light_oils_refined,242351257,278253171.678,278253.17167799996,278253171.678,1,TRUE,TRUE
2024,CYPRUS,export,refined_products,light_oils_refined,1288045341.979,1652755370,1652755.37,1652755370,1,TRUE,TRUE
2024,CYPRUS,import,crude_oil,crude_oil,2138.784,1046,1.046,1046,1,TRUE,TRUE
2024,CYPRUS,import,refined_products,light_oils_refined,1339975338.172,1749939310,1749939.31,1749939310,1,TRUE,TRUE
2024,CYPRUS,re-export,refined_products,light_oils_refined,2926.757,140,0.14,140,1,TRUE,TRUE
2024,CZECH REP.,export,crude_oil,crude_oil,12120,0,0,0,1,FALSE,FALSE
2024,CZECH REP.,export,lng,lng,19,31.82,0.03182,31.82,1,TRUE,TRUE
2024,CZECH REP.,export,refined_products,light_oils_refined,469664484,521066310.019,521066.31001899997,521066310.019,1,TRUE,TRUE
2024,CZECH REP.,import,crude_oil,crude_oil,4029827381,0,0,0,1,FALSE,FALSE
2024,CZECH REP.,import,lng,lng,15079259,20759202.3,20759.2023,20759202.3,1,TRUE,TRUE
2024,CZECH REP.,import,refined_products,light_oils_refined,766560292,916397528.632,916397.528632,916397528.632,1,TRUE,TRUE
2024,DENMARK,export,crude_oil,crude_oil,396230751.77,0,0,0,1,FALSE,FALSE
2024,DENMARK,export,refined_products,light_oils_refined,652185324.524,0,0,0,1,FALSE,FALSE
2024,DENMARK,import,crude_oil,crude_oil,2840249374.248,4436890792,4436890.792,4436890792,1,TRUE,TRUE
2024,DENMARK,import,lng,lng,718141.896,1876810,1876.81,1876810,1,TRUE,TRUE
