provider,source_dataset,source_file,source_layer,source_id,asset_class,asset_label,provider_class,subclass,name,status,country,commodity_group,liquid_capacity_bpd,liquid_throughput_bpd,gas_capacity_mmcfd,gas_throughput_mmcfd,lng_capacity_mtpa,lng_capacity_bcmy,oil_production_bpd,capacity_kbd,production_kbd,primary_output_kind,primary_output_value,primary_output_unit,primary_output_basis,geometry_role,provider_priority,lat,lon
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,310,refinery,Refinery,CRUDE OIL REFINERIES,,MINA ABDULLA,N/A,KUWAIT,oil,240000,,,,,,,240,,liquid_capacity,240000,bpd,capacity,site,1,29.00391,48.15339
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,308,refinery,Refinery,CRUDE OIL REFINERIES,,SHUAIBA,N/A,KUWAIT,oil,179000,,,,,,,179,,liquid_capacity,179000,bpd,capacity,site,1,29.03122,48.14654
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,309,refinery,Refinery,CRUDE OIL REFINERIES,,MINA AL-AHMADI,N/A,KUWAIT,oil,412000,,,,,,,412,,liquid_capacity,412000,bpd,capacity,site,1,29.06123,48.1297
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,302,refinery,Refinery,CRUDE OIL REFINERIES,,BASRA,N/A,IRAQ,oil,126000,,,,,,,126,,liquid_capacity,126000,bpd,capacity,site,1,30.53828,47.82224
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,296,refinery,Refinery,CRUDE OIL REFINERIES,,KERMANSHAH,N/A,IRAN,oil,25000,,,,,,,25,,liquid_capacity,25000,bpd,capacity,site,1,34.35255,47.10413
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,304,refinery,Refinery,CRUDE OIL REFINERIES,,KHANAQIN,N/A,IRAQ,oil,10000,,,,,,,10,,liquid_capacity,10000,bpd,capacity,site,1,34.31755,45.39963
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,303,refinery,Refinery,CRUDE OIL REFINERIES,,"DAURA, BAGDAD",N/A,IRAQ,oil,100000,,,,,,,100,,liquid_capacity,100000,bpd,capacity,site,1,33.27492,44.43236
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,306,refinery,Refinery,CRUDE OIL REFINERIES,,MUFTHIA,N/A,IRAQ,oil,4500,,,,,,,4.5,,liquid_capacity,4500,bpd,capacity,site,1,33.65339,44.1178
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,307,refinery,Refinery,CRUDE OIL REFINERIES,,QAIYARAH MOSUL,N/A,IRAQ,oil,4000,,,,,,,4,,liquid_capacity,4000,bpd,capacity,site,1,35.7896,43.28271
OGIM,ogim,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/OGIM_v2.5.1.gpkg,Crude_Oil_Refineries,301,refinery,Refinery,CRUDE OIL REFINERIES,,BAIJI,N/A,IRAQ,oil,200000,,,,,,,200,,liquid_capacity,200000,bpd,capacity,site,1,34.99816,43.48753
