provider,source_dataset,source_file,source_layer,source_id,asset_class,asset_label,provider_class,subclass,name,status,country,commodity_group,liquid_capacity_bpd,liquid_throughput_bpd,gas_capacity_mmcfd,gas_throughput_mmcfd,lng_capacity_mtpa,lng_capacity_bcmy,oil_production_bpd,capacity_kbd,production_kbd,primary_output_kind,primary_output_value,primary_output_unit,primary_output_basis,geometry_role,provider_priority,lat,lon
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130594,lng_facility,LNG / LPG Facility,export,,QatarEnergy LNG (N),operating,Qatar,gas,,,,,40.8,55.5,,,,lng_capacity_mtpa,40.8,mtpa,capacity,site,2,25.90841199999999,51.557708
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130598,lng_facility,LNG / LPG Facility,export,,QatarEnergy LNG (S),operating,Qatar,gas,,,,,36.3,49.379999999999995,,,,lng_capacity_mtpa,36.3,mtpa,capacity,site,2,25.891475000000003,51.54435
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130601,lng_facility,LNG / LPG Facility,LNG Terminals,,Das Island LNG Terminal,cancelled,United Arab Emirates,gas,,,,,6.9,9.379999999999999,,,,lng_capacity_mtpa,6.9,mtpa,capacity,site,2,25.1603681,52.87778899999999
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130602,lng_facility,LNG / LPG Facility,import,,Fujairah LNG Terminal,cancelled,United Arab Emirates,gas,,,,,18.6,25.3,,,,lng_capacity_mtpa,18.6,mtpa,capacity,site,2,25.319096,56.375397
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130603,lng_facility,LNG / LPG Facility,import,,Jebel Ali FLNG Terminal,operating,United Arab Emirates,gas,,,,,6,8.16,,,,lng_capacity_mtpa,6,mtpa,capacity,site,2,25.03103,55.066700000000004
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130604,lng_facility,LNG / LPG Facility,import,,Ruwais FSRU,operating,United Arab Emirates,gas,,,,,3.8,5.17,,,,lng_capacity_mtpa,3.8,mtpa,capacity,site,2,24.148299999999995,52.73890000000001
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130605,lng_facility,LNG / LPG Facility,export,,Yemen LNG Terminal,mothballed,Yemen,gas,,,,,3.35,4.56,,,,lng_capacity_mtpa,3.35,mtpa,capacity,site,2,13.981200000000001,48.18115
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130618,lng_facility,LNG / LPG Facility,import,,Dörtyol FSRU,operating,Türkiye,gas,,,,,7.5,10.2,,,,lng_capacity_mtpa,7.5,mtpa,capacity,site,2,36.8509903,36.125975900000014
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130627,lng_facility,LNG / LPG Facility,export,,Qeshm LNG Terminal,cancelled,Iran,gas,,,,,3.45,4.69,,,,lng_capacity_mtpa,3.45,mtpa,capacity,site,2,26.951056,55.75235500000001
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130671,lng_facility,LNG / LPG Facility,import,,Al Zour LNG Terminal,operating,Kuwait,gas,,,,,22,29.93,,,,lng_capacity_mtpa,22,mtpa,capacity,site,2,28.718368300000005,48.3973631
GEM,ggit,/Users/erichoffmann/Iran_War_Visualisation/data_raw/Geodata/GEM-GGIT-LNG-Teminals-2025-09.xlsx,LNG Terminals,T100000130685,lng_facility,LNG / LPG Facility,import,,Ain Sokhna FSRU,operating,Egypt,gas,,,,,25.28,34.4,,,,lng_capacity_mtpa,25.28,mtpa,capacity,site,2,29.648629999999997,32.355923000000004
