site_id,asset_class,asset_label,asset_rank,map_color,name,status,country,lat,lon,geometry_role,primary_provider,primary_dataset,provider_priority,provider_sources,source_datasets,source_ids,provider_classes,subclasses,record_count
site_25,refinery,Refinery,2,#8c510a,KHARTOUM,N/A,SUDAN,15.53119,32.48407,site,OGIM,ogim,1,OGIM,ogim,354,CRUDE OIL REFINERIES,,1
site_26,refinery,Refinery,2,#8c510a,KIRKUK,N/A,IRAQ,35.52841,44.33475,site,OGIM,ogim,1,OGIM,ogim,305,CRUDE OIL REFINERIES,,1
site_27,refinery,Refinery,2,#8c510a,LAVAN,N/A,IRAN,26.79954,53.34996,site,OGIM,ogim,1,OGIM,ogim,297,CRUDE OIL REFINERIES,,1
site_28,refinery,Refinery,2,#8c510a,LITTLE ADEN,N/A,YEMEN,12.75074,44.8822,site,OGIM,ogim,1,OGIM,ogim,329,CRUDE OIL REFINERIES,,1
site_29,refinery,Refinery,2,#8c510a,MINA ABDULLA,N/A,KUWAIT,29.00391,48.15339,site,OGIM,ogim,1,OGIM,ogim,310,CRUDE OIL REFINERIES,,1
site_30,refinery,Refinery,2,#8c510a,MINA AL FAHAL,N/A,OMAN,23.62534,58.51328,site,OGIM,ogim,1,OGIM,ogim,311,CRUDE OIL REFINERIES,,1
site_31,refinery,Refinery,2,#8c510a,MINA AL-AHMADI,N/A,KUWAIT,29.06123,48.1297,site,OGIM,ogim,1,OGIM,ogim,309,CRUDE OIL REFINERIES,,1
site_32,refinery,Refinery,2,#8c510a,MOSTOROD,N/A,EGYPT,27.1962,30.99116,site,OGIM,ogim,1,OGIM,ogim,340,CRUDE OIL REFINERIES,,1
site_33,refinery,Refinery,2,#8c510a,MUFTHIA,N/A,IRAQ,33.65339,44.1178,site,OGIM,ogim,1,OGIM,ogim,306,CRUDE OIL REFINERIES,,1
site_34,refinery,Refinery,2,#8c510a,PARS,N/A,IRAN,35.73816,51.10355,site,OGIM,ogim,1,OGIM,ogim,331,CRUDE OIL REFINERIES,,1
site_35,refinery,Refinery,2,#8c510a,PERSIAN GULF STAR,N/A,IRAN,27.15966,56.05833,site,OGIM,ogim,1,OGIM,ogim,330,CRUDE OIL REFINERIES,,1
site_36,refinery,Refinery,2,#8c510a,PORT SUDAN,N/A,SUDAN,19.55591,37.23416,site,OGIM,ogim,1,OGIM,ogim,355,CRUDE OIL REFINERIES,,1
site_37,refinery,Refinery,2,#8c510a,QAIYARAH MOSUL,N/A,IRAQ,35.7896,43.28271,site,OGIM,ogim,1,OGIM,ogim,307,CRUDE OIL REFINERIES,,1
site_38,refinery,Refinery,2,#8c510a,RABIGH,N/A,SAUDI ARABIA,22.71829,39.01571,site,OGIM,ogim,1,OGIM,ogim,324,CRUDE OIL REFINERIES,,1
site_39,refinery,Refinery,2,#8c510a,RAS TANURA,N/A,SAUDI ARABIA,26.70243,50.09207,site,OGIM,ogim,1,OGIM,ogim,327,CRUDE OIL REFINERIES,,1
site_40,refinery,Refinery,2,#8c510a,RIYADH,N/A,SAUDI ARABIA,24.51852,46.86798,site,OGIM,ogim,1,OGIM,ogim,328,CRUDE OIL REFINERIES,,1
site_41,refinery,Refinery,2,#8c510a,SHIRAZ,N/A,IRAN,29.73499,52.65466,site,OGIM,ogim,1,OGIM,ogim,298,CRUDE OIL REFINERIES,,1
site_42,refinery,Refinery,2,#8c510a,SHUAIBA,N/A,KUWAIT,29.03122,48.14654,site,OGIM,ogim,1,OGIM,ogim,308,CRUDE OIL REFINERIES,,1
site_43,refinery,Refinery,2,#8c510a,SOHAR,N/A,OMAN,24.49211,56.62126,site,OGIM,ogim,1,OGIM,ogim,312,CRUDE OIL REFINERIES,,1
site_44,refinery,Refinery,2,#8c510a,TANTA,N/A,EGYPT,30.79348,30.95761,site,OGIM,ogim,1,OGIM,ogim,341,CRUDE OIL REFINERIES,,1
site_45,refinery,Refinery,2,#8c510a,TEHRAN,N/A,IRAN,35.53887,51.42795,site,OGIM,ogim,1,OGIM,ogim,295,CRUDE OIL REFINERIES,,1
site_46,refinery,Refinery,2,#8c510a,UMM SAID,N/A,QATAR,24.9656,51.54472,site,OGIM,ogim,1,OGIM,ogim,321,CRUDE OIL REFINERIES,,1
site_47,refinery,Refinery,2,#8c510a,WADI- FERAN,N/A,EGYPT,28.73454,33.22161,site,OGIM,ogim,1,OGIM,ogim,344,CRUDE OIL REFINERIES,,1
site_48,refinery,Refinery,2,#8c510a,YANBU,N/A,SAUDI ARABIA,23.94383,38.31537,site,OGIM,ogim,1,OGIM,ogim,323,CRUDE OIL REFINERIES,,1
site_49,refinery,Refinery,2,#8c510a,YANBU,N/A,SAUDI ARABIA,23.97722,38.23964,site,OGIM,ogim,1,OGIM,ogim,322,CRUDE OIL REFINERIES,,1
site_50,refinery,Refinery,2,#8c510a,ZARQA,N/A,JORDAN,32.12295,36.11163,site,OGIM,ogim,1,OGIM,ogim,349,CRUDE OIL REFINERIES,,1
site_51,lng_facility,LNG / LPG Facility,4,#35978f,ABU DHABI FSRU,IDLE,UNITED ARAB EMIRATES,25.1609,52.8766,site,OGIM,ogim,1,OGIM,ogim,121964,LNG FACILITIES,,1
site_52,lng_facility,LNG / LPG Facility,4,#35978f,AIN SOKHNA HOEGH FSRU,MOTHBALLED,EGYPT,29.64863,32.35592,site,OGIM,ogim,1,OGIM,ogim,121968,LNG FACILITIES,,1
site_53,lng_facility,LNG / LPG Facility,4,#35978f,AL ZOUR LNG IMPORT TERMINAL,OPERATING,KUWAIT,28.73457,48.3887,site,OGIM,ogim,1,OGIM,ogim,121524,LNG FACILITIES,,1
site_54,lng_facility,LNG / LPG Facility,4,#35978f,AQABA JORDAN FSRU,OPERATING,JORDAN,29.37525,34.96357,site,OGIM,ogim,1,OGIM,ogim,121932,LNG FACILITIES,,1
